parameters,values,remarks
Cylinder water temperature(25 - 40C),30C, NA
Chiller water Pressure(2 - 4.5 bar),3.5 bar, Na
Hydraulic Oil Temperature(40 - 50C),45C, Na
Material lines for leaks(usually dry),Normal, NA
Lubrication of guides, Normal, Na
Silicon feeder system (normal), Yes, NA
Heater temperature  (Consistancy), Normal, NA
Hydraulic Oil Level (above the minimum), Yes, NA
Oil leakage of from joints, No, NA
Feeder Pressure ( 50-120PSI), 90PSI, NA
Desk light (normal white tube), Yes, NA
conveyor (Rolling down the line), Yes, NA
Open the valve Material A and B, Yes, NA
Air Pressure of of Mold (2-3bar), 2 bar, NA
Purge Material Remove from Machine, Yes, NA
Nipple Conveyor and Collector Cleaning, Yes, NA
Clean M / C.Both Door Beds With Sticky Roller, Yes, NA
